baseMean log2FoldChange lfcSE stat pvalue padj
YBL087C 657.317989222944 0.624226796083718 0.0714206687316072 8.74061039699219 2.31854287983938e-18 5.24141354279936e-17
YBL092W 1609.75472934728 0.338489079771993 0.0485194152999186 6.97648427215316 3.02658203815028e-12 5.02717684957482e-11
YBL101C 187.680644631359 1.05162705628622 0.129964461314734 8.09222943726389 5.85824260428163e-16 1.17202284945724e-14
YBL113C 184.539234997569 -0.406829474747006 0.145449856782217 -2.79605833969573 0.00517300615450348 0.0247655692198018
YBR005W 121.382850635907 0.523605161673271 0.15722883371773 3.33115757816337 0.000864856299712845 0.00538342957137359
YBR007C 59.0348415846295 -0.908703048265989 0.236149239566965 -3.83384079753935 0.000126157809345766 0.000956416709592236
YBR008C 48.2329310290749 -0.637514708436138 0.249676996217844 -2.54673425715012 0.0108736202458608 0.0459761039700072
YBR009C 358.691592880692 -0.438053950689017 0.0967571661627684 -4.5263839036078 6.00015374855827e-06 5.65857873094456e-05
YBR010W 407.095056866017 -0.998133866835572 0.0949394776846826 -10.5065522458111 8.05859714782274e-26 2.3042436228158e-24
YBR011C 1242.15852933989 -0.299958596378342 0.05297601051083 -5.66194567555266 1.49666209662518e-08 1.93638389443531e-07
YBR014C 58.262412944094 -1.06518937029125 0.242205364881705 -4.37647696034574 1.20612933905646e-05 0.000109778806993773
YBR017C 125.382742236787 0.506504777091942 0.157252245772194 3.22184066029824 0.00127369947384506 0.00753866361551774
YBR023C 199.507359784248 -0.457058863612239 0.131811379807196 -3.46614039714548 0.000527987495708185 0.00344760969564614
YBR025C 531.185931566629 0.530127000948672 0.0770358229716494 6.88202396595672 5.90080826030722e-12 9.64774447155191e-11
YBR031W 2952.13648217076 0.804004089317842 0.0350177952270366 22.9601104445692 1.16777148524166e-116 1.52345521678819e-114
YBR034C 119.751425473284 0.77032986253214 0.159080575553648 4.84366449966098 1.27466095984768e-06 1.33254205852524e-05
YBR043C 102.096564639465 -0.578135355610797 0.177669785709153 -3.25045098108434 0.00115222130079866 0.00690450697186717
YBR048W 962.717439665485 0.977377439211301 0.0598313268830572 16.3358959091343 5.4821040116054e-60 3.26942241149267e-58
YBR050C 41.9498899470381 0.776514860199964 0.281656863309464 2.75866161324567 0.00580385989029901 0.0273467047652764
YBR054W 52.4451967347867 2.0558573177903 0.247356799716709 8.27127602058249 1.32532819813066e-16 2.7943451773381e-15
YBR055C 55.0962635600408 -1.00821992996049 0.245286765204095 -4.0910651815651 4.29396414231774e-05 0.000353800045515706
YBR067C 412.982726243705 2.66397304152375 0.0989212495762471 26.8876384277604 3.06376085694808e-159 5.99539702694026e-157
YBR068C 512.645823949275 0.909105760339882 0.0813908453657706 11.1701842485125 5.70623925788875e-29 1.83972935717194e-27
YBR069C 183.848142320866 1.0632517090611 0.129182546388629 8.2311660308651 1.85399784739781e-16 3.86991150680171e-15
YBR070C 42.9887761123392 -1.62936077003613 0.286006425315412 -5.60975237526068 2.02616320181614e-08 2.60530471658576e-07
YBR073W 119.879285111733 -0.533322460519814 0.166517979754796 -3.2001680476488 0.00137347481040865 0.00803053152453687
YBR077C 48.7980726839071 -0.660143150966196 0.254506596946195 -2.58697010196086 0.00968239930879738 0.042075769931776
YBR078W 1255.06538201265 0.388899896768439 0.0517707812697655 7.51214370541064 5.81668848964247e-14 1.05884021285294e-12
YBR079C 422.919267898786 0.410801467518343 0.0876518378259042 4.68709664782104 2.77108124226892e-06 2.75874574548299e-05
YBR084C-A 951.925002092617 0.237274546454242 0.0585637733605344 4.05165530370826 5.08565516506731e-05 0.000414666310464212
YBR084W 217.367482927842 0.318346445254444 0.119228411289985 2.67039839519903 0.00757612967362051 0.0341307367023105
YBR085W 19.8587252490811 0.969654171662402 0.357919122249217 2.71058202853984 0.00671652329109598 0.0309940079947259
YBR089C-A 87.1716382606775 -0.480951970524727 0.189470912745078 -2.53590385503109 0.0112157522093993 0.0470415541428389
YBR092C 158.084628452397 2.80418075487929 0.162418751765157 17.1783160117813 3.85953183166039e-66 2.54404087682709e-64
YBR093C 167.558318680176 2.0065364567173 0.141785694739321 14.132958542618 2.37934292046023e-45 1.05669825304411e-43
YBR105C 108.58315029928 -0.47640380573592 0.173063021024791 -2.75063666815643 0.00594795743824687 0.0279415675006016
YBR106W 730.754795442351 0.310474375425801 0.0657946861426823 4.71901571144723 2.3698851826838e-06 2.39358403451063e-05
YBR108W 143.777487910604 0.609664909224257 0.145566330422544 4.18924808042921 2.79880296890241e-05 0.000239755187295032
YBR111W-A 15.1039317268007 -1.50889081810938 0.421290735361488 -3.4582575610688 0.000543681350704812 0.00353167284036674
YBR112C 345.278225425585 0.636251895134607 0.0983451081334324 6.47023580228938 9.78500981852256e-11 1.45198415837887e-09
YBR115C 181.717481674183 1.07025544711721 0.129986490480619 8.23411582295063 1.80888618883589e-16 3.78837635936133e-15
YBR118W 17358.1267018446 0.764944663509806 0.0192970591798939 39.6405427468496 0 0
YBR121C 595.51765778487 0.468505571777857 0.0753713698459909 6.21631092514086 5.08979017736184e-10 7.22727122236732e-09
YBR126C 1179.74603915529 0.80676570989976 0.0562935922566332 14.3317596893906 1.38564580003316e-46 6.2876188404403e-45
YBR127C 624.011495437135 0.481233985227388 0.0708674353031451 6.79099929104445 1.11359472931477e-11 1.78803338332542e-10
YBR129C 53.6077415923181 -0.61920913892562 0.239752283768744 -2.57694859002873 0.00996767743384777 0.0429281953856635
YBR130C 60.4162485992135 -0.709905055680429 0.229286466972785 -3.088585769399 0.00201111632717502 0.0110956920182995
YBR142W 38.7472797978899 0.863935301053358 0.265929691440452 3.25072315514684 0.00115111889781203 0.00690450697186717
YBR143C 326.668425668937 0.302049815296134 0.0970604998159351 3.11223414649166 0.00185677166958622 0.0103808453835336
YBR145W 298.459856878244 1.04877496849227 0.104507264512314 10.0359014940665 1.05986776396242e-23 2.78861005795491e-22
YBR149W 416.43326855424 0.387849865077453 0.0901720523156431 4.30153644044808 1.69617872211923e-05 0.000150873169856685
YBR151W 170.260669083847 0.489739351067209 0.137675998761374 3.55788787438321 0.000373848822838116 0.00255897139198532
YBR156C 26.4904869299501 -0.908033567832241 0.329530850287822 -2.73392363889495 0.00625845566763889 0.0291812728151562
YBR168W 27.465987092377 -0.820423197729331 0.324319984291513 -2.51352831118539 0.0119530183582612 0.0493406730121499
